Product Category,Brand Name,Description,Price ($),IsEcoFriendly
Soap,GreenPure Soap,"Soap Packaging often ends up in landfills due to limited reusability. Contributes to carbon emissions higher than sustainable alternatives. Made from compostable and recyclable materials. This product is not eco-friendly. Specific to: For sensitive skin, With moisturizing ingredients, For dry skin.",23.08,0
Face Wash,EcoLux Face Wash,"Face Wash Single-use packaging contributes to environmental waste. Certified carbon-neutral production. Minimal packaging waste. This product is eco-friendly. Specific to: With tea tree oil, For sensitive skin, For acne-prone skin.",23.82,1
Face Wash,NatureSafe Face Wash,"Face Wash Lacks durability, resulting in frequent replacements. High energy consumption with little focus on renewable sources. Made from compostable and recyclable materials. This product is not eco-friendly. Specific to: For anti-aging, With aloe vera, For dry skin.",13.62,0
Shampoo,EarthEssence Shampoo,"Shampoo Reusable and biodegradable packaging. Generates significant greenhouse gases during production. Product contributes to landfill waste due to excessive packaging. This product is not eco-friendly. Specific to: For thin hair, For all hair types, For thick hair.",28.62,0
Detergent,GreenPure Detergent,"Detergent Packaging often ends up in landfills due to limited reusability. Produced using renewable energy and minimal emissions. Reduces waste through innovative eco-friendly formulas. This product is eco-friendly. Specific to: For color protection, For sensitive skin, For deep cleaning.",9.11,1
Body Lotion,BioBreeze Body Lotion,"Body Lotion Encourages reusability and eco-conscious disposal. Certified carbon-neutral production. Reduces waste through innovative eco-friendly formulas. This product is eco-friendly. Specific to: For smooth skin, With shea butter, For sensitive skin.",27.66,1
Body Lotion,PlanetGlow Body Lotion,"Body Lotion Helps minimize single-use plastics through reusable components. Certified carbon-neutral production. Reduces waste through innovative eco-friendly formulas. This product is eco-friendly. Specific to: With shea butter, For sensitive skin, For oily skin.",28.82,1
Hair Oil,EarthEssence Hair Oil,"Hair Oil Designed for extended use with minimal waste. Generates significant greenhouse gases during production. Made from compostable and recyclable materials. This product is eco-friendly. Specific to: With argan oil, For shiny hair, For dry hair.",6.03,1
Cosmetics,SustainCare Cosmetics,"Cosmetics Helps minimize single-use plastics through reusable components. Reduces greenhouse gas emissions compared to traditional products. Contains non-biodegradable components, adding to long-term waste. This product is eco-friendly. Specific to: For all skin types, With SPF protection, Cruelty-free.",20.58,1
Foundation,EcoLux Foundation,"Foundation Reusable and biodegradable packaging. Reduces greenhouse gas emissions compared to traditional products. Not compostable, leading to persistent waste in the environment. This product is eco-friendly. Specific to: With SPF protection, For oily skin, For full coverage.",20.61,1
Soap,PlanetGlow Soap,"Soap Helps minimize single-use plastics through reusable components. High energy consumption with little focus on renewable sources. Reduces waste through innovative eco-friendly formulas. This product is eco-friendly. Specific to: For oily skin, With moisturizing ingredients, For dry skin.",16.41,1
Soap,NatureSafe Soap,"Soap Helps minimize single-use plastics through reusable components. High energy consumption with little focus on renewable sources. Reduces waste through innovative eco-friendly formulas. This product is eco-friendly. Specific to: For sensitive skin, For oily skin, For all skin types.",8.73,1
Detergent,EcoLux Detergent,"Detergent Packaging often ends up in landfills due to limited reusability. High energy consumption with little focus on renewable sources. Designed to decompose with minimal environmental impact. This product is not eco-friendly. Specific to: For color protection, For deep cleaning, With natural fragrance.",6.35,0
Detergent,EcoLux Detergent,"Detergent Single-use packaging contributes to environmental waste. High energy consumption with little focus on renewable sources. Packaging materials are non-recyclable and contribute to waste accumulation. This product is not eco-friendly. Specific to: For color protection, With natural fragrance, For baby clothes.",9.08,0
Toothbrush,SustainCare Toothbrush,"Toothbrush Helps minimize single-use plastics through reusable components. High energy consumption with little focus on renewable sources. Contains non-biodegradable components, adding to long-term waste. This product is not eco-friendly. Specific to: For sensitive gums, For kids, With bamboo handle.",21.75,0
